파일명,실제구분,음성길이(초),길이구간,최종위험점수,AI음성확률,태도변화여부,감정변화상세(Arousal),최종판정
15번_3차례 신고된 남성 전화금융사기범 (음성_15)-3.m4a,보이스피싱,49.0,40s~60s,4.77,65.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.44),보이스피싱
4차례 신고된 남성 전화금융사기범 음성 1-1.m4a,보이스피싱,54.2,40s~60s,5.0,63.5%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.43),보이스피싱
6차례 신고된 남성 전화금융사기범 음성 3-5.m4a,보이스피싱,55.0,40s~60s,3.2,65.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.41),정상
10번_3차례 신고된 남성 전화금융사기범 (음성_10)-3.m4a,보이스피싱,55.5,40s~60s,5.0,42.9%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.45),보이스피싱
4차례 신고된 여성 전화금융사기범 음성 2-4.m4a,보이스피싱,54.5,40s~60s,4.25,69.8%,N,변화 없음 (안정적 상태 유지),보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-2.m4a,보이스피싱,32.5,20s~40s,5.0,69.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.41),보이스피싱
2번_3차례 신고된 여성 전화금융사기범 (음성_2)-1.m4a,보이스피싱,206.1,1m20s~,5.0,52.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.39),보이스피싱
12번_3차례 신고된 남성 전화금융사기범 (음성_12)-3.m4a,보이스피싱,35.0,20s~40s,2.81,56.6%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.50),정상
4차례 신고된 남성 전화금융사기범 음성 5-4.m4a,보이스피싱,98.6,1m20s~,0.0,N/A,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
12번_3차례 신고된 남성 전화금융사기범 (음성_12)-2.m4a,보이스피싱,53.8,40s~60s,5.0,81.4%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),보이스피싱
3차-(1).16차례 신고된 남성 전화금융사기범 음성-3.m4a,보이스피싱,26.9,20s~40s,2.96,47.7%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
10번_3차례 신고된 남성 전화금융사기범 (음성_10)-2.m4a,보이스피싱,35.9,20s~40s,2.52,47.8%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.46),정상
6차례 신고된 남성 전화금융사기범 음성 3-4.m4a,보이스피싱,59.6,40s~60s,5.0,48.0%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.37),보이스피싱
15번_3차례 신고된 남성 전화금융사기범 (음성_15)-2.m4a,보이스피싱,43.6,40s~60s,4.75,66.8%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.47),보이스피싱
6차례 신고된 남성 전화금융사기범 음성 1-6.m4a,보이스피싱,68.5,1m~1m20s,5.0,44.7%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.35),보이스피싱
4차례 신고된 남성 전화금융사기범 음성 3-2.m4a,보이스피싱,47.6,40s~60s,4.34,52.2%,Y,[평온/중립] ➔ [흥분/압박] 상태로 감정 상승 (Δ+0.48),보이스피싱
